label,slack,ok-example,ng-example,basic-reason,reason,expected,pattern,prh,spec:from,spec:to,status,only use textlint,record_id,add next to textlint,use textlint,UIテキスト,assign
すべて,,すべて,全て,"[""recWCPX1UhchVaFjO""]",,すべて,全て,平仮名にしたほうが読みやすい漢字は平仮名にする https://smarthr.design/products/contents/writing-style/,全て,すべて,"[""定義済""]",,rechdxIh4sX7YEpsR,,true,,
すまーとえいちあーるおぷしょんきのう,true,"SmartHRオプション機能, オプション機能",プラスアプリ,,"[""recIMc9ARxOlEBnrr""]",オプション機能,プラスアプリ,アプリケーションの呼び方には「SmartHR基本機能」と「オプション機能」を使用する https://smarthr.design/products/contents/idiomatic-usage/usage/,通勤経路検索機能はプラスアプリです,通勤経路検索機能はオプション機能です,"[""定義済""]",,rec8mGz5fgn4mIN16,true,true,,snow
すまーとえいちあーるおぷしょんきのうのかんりしゃ,true,"SmartHRオプション機能の管理者,組織図機能管理者,サーベイ機能管理者,評価機能管理者,配置シミュレーション管理者","SmartHR管理者,SmartHRの管理者",,"[""reciifo0d9bgVfEzj""]",,,,,,,,reciHwBKt5HDSVWz4,,,,
すまーとえいちあーるきほんきのう,true,"SmartHR基本機能, 
基本機能","SmartHR本体, 本体アプリ",,"[""recIMc9ARxOlEBnrr""]",SmartHR基本機能,/SmartHR本体アプリ|本体アプリ|SmartHR本体/,アプリケーションの呼び方には「SmartHR基本機能」と「オプション機能」を使用する https://smarthr.design/products/contents/idiomatic-usage/usage/,"SmartHR本体アプリの権限ごとに設定します,SmartHR本体の権限ごとに設定します,本体アプリの権限ごとに設定します","SmartHR基本機能の権限ごとに設定します,SmartHR基本機能の権限ごとに設定します,SmartHR基本機能の権限ごとに設定します","[""定義済""]",,recZuLjSqMcKqbEVe,true,true,,snow
すまーとえいちあーるきほんきのうのかんりしゃ,true,"SmartHR基本機能の管理者,基本機能管理者","SmartHR管理者,SmartHRの管理者",,"[""reciifo0d9bgVfEzj""]",,,,,,,,rec5aCnTqNTPU3snX,,,,
すまーとふぉん,,スマートフォン,"スマホ, スマフォ, スマートホン",,"[""recfxwmTf7qQv8yFa""]",スマートフォン,"スマートホン,スマフォ,スマホ",「スマートフォン」と表現し、「スマホ」などの表現は控える https://smarthr.design/products/writing/idiomatic-usage/usage/,"スマートホン,スマフォ,スマホ","スマートフォン,スマートフォン,スマートフォン","[""定義済""]",,recZlCK7QRBtUOIBm,,true,,
せきゅりてぃ,,セキュリティ,セキュリティー,,"[""recKk3i3NODrXp6D3""]",セキュリティ,セキュリティー,‐er、‐or、‐arで終わる単語は「長音あり」、-yで終わる単語は「長音なし」とする（例外あり） https://smarthr.design/products/contents/idiomatic-usage/usage/,セキュリティー,セキュリティ,"[""定義済""]",,rec5V5BCUc6CcdBFP,,true,,
ぜひ,,ぜひ,是非,"[""recWCPX1UhchVaFjO""]",,ぜひ,/是非(?!を|に|にも)/,平仮名にしたほうが読みやすい漢字は平仮名にする https://smarthr.design/products/contents/writing-style/,是非,ぜひ,"[""定義済""]",,recX2BIUvTVB2Oywy,,true,,
せんたくする,true,選択する,選ぶ,,,,,,,,"[""定義予定""]",,rec2kOyPVSIErIO5E,,,,影響でかそうなので保留
せんたくする,true,（ラジオボタンを）選択する,,,,,,,,,"[""定義不能""]",,recvPqSnfsTFiqNDy,,,,
